"GSM134895","GSM134896","GSM134897","GSM134898","GSM134900","GSM134903","GSM134905","GSM134907","GSM134940","GSM135015","GSM135016","GSM135017","GSM135018","GSM135657","GSM135659","GSM135674","GSM135678","GSM135683","GSM135685","GSM135686","GSM135691","GSM135699","GSM135701","GSM135019","GSM135020","GSM135021","GSM135022","GSM135023","GSM135024","GSM135025","GSM135026","GSM135029","GSM135031","GSM135033","GSM135042","GSM135045","GSM135051","GSM135057","GSM135060","GSM135068","GSM135071","GSM135072","GSM135078","GSM135159","GSM135163","GSM135166","GSM135168","GSM135220","GSM135223","GSM135224","GSM135228","GSM135262","GSM135263","GSM135279","GSM135655","GSM135656","GSM135658","GSM135660","GSM135661","GSM135662","GSM135663","GSM135664","GSM135665","GSM135666","GSM135667","GSM135668","GSM135669","GSM135670","GSM135671","GSM135672","GSM135673","GSM135675","GSM135676","GSM135677","GSM135679","GSM135680","GSM135681","GSM135682","GSM135684","GSM135687","GSM135688","GSM135689","GSM135690","GSM135692","GSM135693","GSM135694","GSM135695","GSM135696","GSM135697","GSM135698","GSM135700","GSM135702","GSM135703","GSM135704","log_fold_change"
0.242398,0.23839,0.750647,0.00515547,0.455504,0.413678,0.283895,0.0542669,0.154822,0.1633065,0.171791,0.1633065,0.394043,0.434451,0.0440152,-1.5517,0.1633065,-1.55821,0.1633065,0.0668084,0.1633065,-0.0409354,-1.37078,-0.147276,0.357123,0.0406574,0.262238,1.18204,0.535198,0.647458,0.366289,0.357123,1.48079,0.795129,0.238162,0.357123,0.431687,0.662385,0.411837,-0.439031,-0.177788,0.357123,0.016485,-1.82276,0.0364888,0.716238,0.357123,0.357123,0.964211,0.161823,0.744077,0.0178598,1.40582,0.0983871,0.357123,0.357123,0.357123,0.357123,0.357123,0.27756,0.982939,0.115679,0.0965856,0.357123,1.30257,-0.0469037,0.357123,0.357123,0.807176,-0.620755,-0.0805123,0.570821,0.238227,-0.211193,0.357123,0.357123,0.471876,0.405471,1.89961,0.485522,-0.0362129,0.357123,1.07281,0.357123,0.394367,0.438575,-0.137029,1.11067,-0.9363,1.45528,0.0256762,-0.157904,0.17006,0.357123,10.7578848159211
0.0318843,-0.0726726,0.0357392,0.0724647,0.0404096,0.0485179,0.125537,-0.23719,-0.528304,0.0357392,0.0262627,0.0357392,0.0395941,0.0357392,0.452997,-0.0686539,-0.00656532,-0.655128,0.279252,0.202457,0.0357392,0.0357392,0.0357392,0.221734,0.0741471,-0.263748,0.118368,0.0741471,0.00132668,-0.28441,-0.933207,0.0741471,0.292321,-0.540753,-0.62867,0.0741471,-0.02129,0.627593,0.125084,0.0741471,0.0781884,0.0741471,0.46144,0.0880546,-0.157798,-0.184529,0.0741471,0.341141,0.498296,1.2575,-0.0312207,0.0804137,0.600691,0.102134,0.0121644,0.0492602,0.415952,0.0741471,0.0741471,0.186765,0.0473868,-0.190076,0.0681523,0.0741471,-0.299972,-0.262857,0.0741471,-0.680299,0.0943784,0.0741471,0.116875,0.266719,-0.284917,-0.000396446,0.0485917,-0.230155,0.326329,0.259304,0.0741471,-0.314116,-0.104492,-0.316828,0.0847342,-0.0542228,0.401347,0.0741471,0.0741471,0.590574,-0.30125,0.737628,0.407966,0.0741471,0.353332,0.0741471,10.4691009687654
0.124802,0.0287812,0.203308,0.481298,-2.12056,-0.0228785,0.971201,0.587942,-0.662259,0.139103,-0.356573,0.103927,0.805402,0.968441,-0.501802,0.354409,-0.2583,-0.296915,-0.611288,-0.450773,0.61184,0.0663541,-0.150479,0.785011,0.404497,1.48111,0.421619,1.01883,0.73114,0.765375,-0.128147,-0.128094,-1.25241,0.753425,0.610023,2.38903,0.280129,0.46879,1.5327,1.15521,0.630942,0.854363,1.19803,-0.110763,0.530175,1.26787,0.876333,0.900236,1.81322,1.5872,-0.576414,1.08608,0.685246,0.821638,0.113349,0.512019,0.205733,0.41192,0.712863,0.915792,-0.00276001,0.116881,-0.0916833,0.342621,0.610023,0.663561,0.418113,0.190766,-0.141997,0.610023,1.03178,1.01021,-0.374471,1.06199,1.45972,1.3789,0.589104,0.198925,0.529356,0.341429,0.735184,0.376441,-0.806195,0.332072,1.01682,1.03037,0.0845085,3.68999,-0.755278,0.378423,1.33038,0.453162,0.157,2.30873,9.95806086209743
-0.0480305,-0.376948,-0.0473638,-0.365009,-0.04769715,1.06261,0.183997,0.0932297,-0.04769715,-0.04769715,-0.214769,0.337978,0.380741,-0.04769715,-0.04769715,0.804328,-0.04769715,-0.600673,-0.148674,-0.636389,-0.132686,0.0439222,-0.04769715,-0.057998,0.0268012,0.0268012,0.0231641,-0.178933,-0.108274,0.00562698,0.964191,0.401896,-0.0579308,-0.382209,-0.526461,0.257965,-0.606582,0.727566,0.910957,-0.702302,-0.177611,0.0268012,-0.0115206,1.39072,0.284229,0.247981,0.0268012,0.271513,0.225739,0.0961737,0.0300532,-0.693948,-0.270018,-0.0563699,0.0869594,0.0268012,0.319192,0.132585,0.311033,-0.0650156,-0.620575,-0.0881485,-0.0440084,0.357481,0.0268012,0.446794,-0.482839,0.0268012,-0.0278579,0.150628,0.212614,0.107578,0.205689,-0.00922237,0.356512,-0.249988,0.460303,0.358375,-0.175683,0.290884,0.485526,0.0110657,-0.348484,-1.17632,-0.113494,0.0268012,0.277008,0.656745,-0.420288,-0.150109,-0.0373395,0.237266,1.05104,0.0268012,9.33585195883189
0.0269769,-0.133979,0.0269769,0.0714684,0.0269769,0.0269769,0.0457788,0.0269769,0.0269769,0.0269769,0.156976,0.0269769,-0.0506454,0.0269769,0.0269769,-0.545907,0.0269769,0.0269769,0.0269769,0.0269769,0.0269769,0.0269769,0.0269769,0.0164661,0.01002647,0.01002647,0.01002647,0.01002647,0.01002647,0.01002647,-0.069185,-0.113063,0.01002647,0.156148,1.16165,0.01002647,0.01002647,0.01002647,0.01002647,0.01002647,0.01002647,0.01002647,0.420013,0.01002647,-0.163826,-0.103474,0.01002647,0.01002647,-0.0841448,0.01002647,-0.391922,0.182122,-0.241026,0.308321,0.01002647,0.01002647,0.01002647,0.01002647,-0.341011,0.0787117,-0.0884772,0.01002647,0.724579,0.01002647,0.01002647,0.428597,0.11941,0.270549,0.179437,0.01002647,0.01002647,-0.683535,0.00724694,-0.435433,-0.0832115,0.499284,0.550929,0.177479,-0.110939,-0.0160352,0.559141,0.043214,0.01002647,0.01002647,0.012806,-0.331928,0.695377,-0.348703,-0.3935,0.01002647,-0.169494,-0.185311,0.262245,0.01002647,8.62926822376856
0.374972,-0.667865,-0.205035,-0.42208,-0.266046,0.086537,-0.574567,-0.298592,0.282791,0.086537,0.167712,0.228573,0.216082,-0.511359,-0.317657,0.853203,0.510413,-0.752643,0.126776,0.616282,-0.0702304,0.46943,0.086537,-0.332146,0.0800575,-0.603481,-0.163541,-0.576826,-0.185797,-0.569776,0.644514,-0.233352,-0.256225,-0.420776,0.4369,-0.130778,-0.370013,-0.665535,-0.54674,0.58925,0.772906,0.0800575,0.573381,-0.113308,-0.0404515,-0.231774,0.0800575,-0.0283895,-0.761517,0.211753,0.023938,1.53766,1.20848,0.674463,-0.797681,0.0800575,-0.0702167,-0.018488,0.508985,0.9296,1.25998,0.378232,0.998104,-0.251482,0.0800575,1.15135,1.23852,0.436277,0.849893,3.24771,-0.176262,0.433283,-0.171745,0.0800575,0.770523,0.257465,-0.230902,0.227418,-0.297366,-0.074455,0.211553,-0.583443,0.442018,-0.216877,0.136177,0.477901,1.14139,0.181188,0.395958,1.03495,0.692347,0.0214199,-0.0889743,0.0800575,7.98362250815676
-0.278566,-0.488721,0.138015,-0.252781,-1.26998,0.544453,0.54662,0.0511376,-0.400773,-0.056418575,0.153667,0.00314985,0.210856,-0.280791,1.28529,-0.056418575,1.04138,-0.856528,-0.438596,-0.219919,0.844203,-0.115987,-0.056418575,0.419093,0.4264875,0.214452,-0.186159,0.231704,1.01992,1.55601,1.41884,0.4264875,-0.404888,0.514011,0.794275,0.221901,1.25363,0.95061,1.78571,-0.0688958,0.178063,0.4264875,0.109844,-0.0418611,0.958213,1.04449,0.191219,0.433882,0.954736,-0.451374,0.210924,0.194411,1.08908,1.04254,-0.665399,-0.0152206,0.553079,0.915422,0.806926,0.354059,0.80721,0.337642,1.25104,0.4264875,0.554912,0.935202,0.978229,0.24135,0.582082,2.24,0.0311402,0.103097,0.379027,0.454343,0.92222,0.222499,1.06986,0.317175,0.341935,0.344819,0.435395,0.619439,-0.0544695,0.82829,0.598483,0.4264875,0.793669,0.0643203,0.349649,0.335862,1.15536,0.100279,0.182752,-1.55875,7.9459249770378
-0.567363,-0.436942,0.425885,0.229895,-0.950731,1.37657,0.877913,0.711085,-1.97876,0.1979705,0.230746,0.1979705,0.06718,0.1979705,0.166046,0.442228,0.508243,-1.93874,-0.589689,0.163064,0.386037,0.1979705,0.1979705,3.91255,0.815571,3.28374,1.51235,1.09488,0.258026,0.753063,2.37128,0.656964,0.160735,0.546073,1.88673,2.66489,-0.25493,2.18152,1.51525,1.14845,0.242852,1.67252,1.27911,0.17935,1.81159,3.20009,0.815571,3.02926,4.77338,5.16989,-0.150612,-0.13198,1.00064,0.198546,0.448788,0.815571,1.86399,0.0984707,0.399797,1.39364,0.931676,0.74643,-0.0144576,-0.375133,0.364529,0.0942181,0.815571,0.229665,-0.0126735,0.815571,2.35691,0.918068,-0.361505,0.0357231,2.00452,2.70738,1.15087,0.68194,0.525859,-0.109787,-0.354758,-0.584618,0.789679,1.36464,2.98983,0.0100139,0.815571,1.80603,0.51079,0.958453,0.404684,1.348,1.44531,0.815571,7.81912553060053
0.11766,0.371664,-0.261212,-0.0632546,-0.0057158,-0.0057158,-0.0057158,-0.0057158,-0.0057158,-0.0057158,-0.0931809,-0.0057158,0.0149144,-0.0057158,-0.0057158,-0.0057158,-0.026346,-0.0057158,-0.0057158,-0.0057158,-0.0057158,0.0188401,-0.0057158,-0.0537391,-0.0537391,-0.0537391,-0.0537391,-0.0537391,-0.0537391,-0.0537391,-0.858797,0.0672338,-0.0537391,-0.0435689,0.0625529,-0.365054,-0.0537391,-0.0537391,0.268184,-0.0307594,-0.296931,-0.0537391,-0.324669,-0.0537391,0.0864779,-0.0537391,-0.0537391,-0.437691,-0.0537391,0.14967,-0.0384499,-0.160682,-0.61358,-0.677222,-0.0537391,-0.0537391,-0.0537391,-0.0537391,0.0944321,-0.0103616,0.0168189,0.0696924,-0.782452,-0.146334,-0.211099,0.683267,0.915549,-0.281791,-0.166957,-0.0537391,-0.0537391,-0.213813,0.118255,-0.466508,-0.38394,-0.498566,-0.232964,-0.109596,-0.0537391,0.146874,0.298449,-0.783893,-0.0537391,-0.0537391,-0.0537391,-0.0537391,0.502071,-0.20519,1.11064,-0.0545929,0.798856,0.119727,0.0830338,-0.0537391,7.6948458480202
0.0928161,-0.184929,0.112085,0.0538623,0.28794,-0.458546,-0.0184836,0.186943,-0.0184836,-0.0184836,-0.150622,0.163084,-0.109119,0.0319866,-0.110511,-0.0557926,-0.0184836,0.654338,-0.0998947,-0.0184836,-0.507516,0.235474,-0.0564857,0.326432,-0.00547636,-0.00547636,0.0218142,-0.00547636,-0.00547636,0.189879,-0.214182,0.0476485,-0.227498,0.0239445,0.656758,-0.00547636,-0.00547636,-0.2271,0.0911072,-0.434222,0.443679,-0.00547636,-0.246582,-0.00547636,0.168134,-0.412054,-0.00547636,0.0153691,-0.396065,-0.449297,0.0513882,-1.83308,-0.0938817,0.627504,-0.00547636,-0.00547636,0.212311,-0.00547636,-0.00547636,0.17702,-0.227901,-0.23991,-0.602736,0.333435,-0.00547636,-0.399402,-0.00547636,-0.00547636,0.919666,-1.8728,-0.0528017,-0.00547636,0.164311,0.031579,-0.174867,0.0230917,0.0631283,-0.100689,-0.0730761,0.314541,0.0916498,0.0297709,-0.231033,-1.25254,0.277111,-0.178504,0.117457,-0.180622,-0.088094,-0.403218,0.603156,-0.0678195,-0.180581,0.356102,7.66469682186801
