"regulatoryGene"	"targetGene"	"weight"	"weightNorm"
"ZNF677"	"HAUS3"	0.086382504875351	1
"ZNF677"	"AK021942"	0.0766444972957744	0.887261568945228
"FOXK1"	"FAM81A"	0.0738311145951927	0.854690599059619
"ZSCAN9"	"FCHSD2"	0.0705769846281848	0.817017029396539
"ZNF677"	"CCDC18-AS1"	0.0696567561675023	0.806363401123864
"ZNF677"	"TMOD2"	0.065248073858474	0.755323399103205
"ZSCAN9"	"PLA2G2A"	0.0631822263219207	0.731406760287084
"ZNF133"	"BBS7"	0.0607654135834017	0.703426942642943
"FOXK1"	"AK026490"	0.0591766753920381	0.685033873055815
"ZNF677"	"U17636"	0.0587708108956887	0.680335116542704
"FOXK1"	"LOC115110"	0.0577449809740351	0.66845892370231
"ZNF677"	"FAM212B"	0.0555469657887294	0.643012159423174
"ZNF512B"	"NUP210"	0.0533415819276626	0.617480086836617
"ZNF133"	"FAM212B"	0.0488509574366186	0.565491427407124
"ZNF677"	"LOC100131508"	0.0487017610044786	0.563764157065528
"KLF13"	"INTS9"	0.0486955451033819	0.563692194610015
"SOX4"	"GSTP1"	0.0484615825981782	0.560983574232924
"ZNF677"	"D17276"	0.0483820711759876	0.560063058109328
"PARP12"	"RTP4"	0.048053128318936	0.556254835399741
"SFPQ"	"MPHOSPH10"	0.0478686696594934	0.554119328758358
"FOXK1"	"CCDC18-AS1"	0.0478533062920382	0.55394146465952
"FOXK1"	"ZNF677"	0.0477041081231999	0.552214174211898
"NME2"	"POLR2L"	0.0475016363525868	0.549870126975821
"ZNF677"	"BBS7"	0.0473763735995821	0.548419940566748
"ZNF133"	"ATP6V1F"	0.0473450206671012	0.548056962782229
"ZNF133"	"AK021942"	0.0472804308146098	0.547309195996012
"ZSCAN9"	"DNAH10"	0.0470017490103728	0.544082853326174
"HOXD9"	"PITPNA"	0.0468918085258224	0.542810055206402
"HMGA1"	"CD151"	0.0467836945354681	0.541558402694529
"GRHL1"	"FMN2"	0.0464405726428241	0.537586027080614
"ZNF677"	"PGAM1"	0.0461592118046304	0.534328668817232
"MIXL1"	"AK021570"	0.045591013792834	0.527750551902154
"ZNF697"	"LOC102606465"	0.0453759914232482	0.525261204426226
"KLF13"	"PLA2G2A"	0.0453050858044051	0.524440319028878
"SPI1"	"GMFG"	0.0451229812648236	0.522332066399929
"ZNF677"	"LOC642533"	0.0450696069346922	0.521714143463595
"FOXK1"	"AK002028"	0.0450680499053776	0.521696117492615
"ZFP64"	"MYT1L"	0.0449232086011037	0.52001926714491
"ZNF677"	"OST4"	0.0448702191714871	0.519405800261808
"HMGA1"	"HADHA"	0.0447719666480403	0.518268315488866
"XBP1"	"MVD"	0.044670647386408	0.517095326610113
"ZNF644"	"SSNA1"	0.0445594547561013	0.51580803220382
"ZNF133"	"CCDC18-AS1"	0.0443724292879744	0.513642809218357
"ZNF677"	"FAM81A"	0.0440994610048145	0.510482612872269
"FOXK1"	"GAPDH"	0.0439075112912123	0.508260381129678
"ZSCAN9"	"CCDC22"	0.0435999143209242	0.504699283077114
"ZNF133"	"U17636"	0.0435158684421259	0.503726270842844
"ZNF133"	"ZNF677"	0.0433642480052158	0.501970937420334
"NR4A3"	"AL359626"	0.0433096920446598	0.501339334564462
"ZBTB32"	"FOXK1"	0.0432764490400342	0.500954475120226
"MIXL1"	"KLF13"	0.0432676520997069	0.500852631571381
"NR4A3"	"AL122122"	0.0432075353835059	0.50015665098097
"MAZ"	"COL6A1"	0.0430767311903313	0.498642310455623
"MYF5"	"AF147398"	0.0430087846526292	0.497855682801707
"SFPQ"	"ATP1A2"	0.0428330935816635	0.495821679898223
"ZNF677"	"ATP5J"	0.0428192648927406	0.495661583011876
"ZNF253"	"COL8A1"	0.0426958076225875	0.494232298959094
"PARP12"	"IFIT1"	0.042666259463234	0.493890215314277
"PHB"	"TNFRSF12A"	0.0426047576601254	0.493178199356922
"AEBP2"	"ARHGAP18"	0.042595528768936	0.493071355045643
"SPI1"	"GCA"	0.0425670278056095	0.492741394952398
"ZNF30"	"ERVFH21-1"	0.0424659732368478	0.491571470464251
"ZNF677"	"FOXK1"	0.0424335180587106	0.491195731810025
"PHB"	"MGST3"	0.0420010821771788	0.486189354230495
"NR4A3"	"AF078528"	0.0417963456884841	0.483819088000316
"LHX3"	"ARC"	0.0416873275719728	0.482556968279049
"NFX1"	"PNPO"	0.0416740913362372	0.482403730315563
"ZNF677"	"ATP5L"	0.041649890682097	0.482123555571811
"ZNF133"	"NM_013384"	0.0415870303471562	0.481395811679758
